episode,reward,average_waiting_time
1,-2263412.0,125.175
2,-2042718.0,114.48
3,-2067467.0,110.215
4,-1824950.0,94.82
5,-1817851.0,94.595
6,-1845058.0,95.455
7,-1848109.0,95.47
8,-1871169.0,102.915
9,-1838459.0,99.13
10,-1931675.0,98.875
11,-1982263.0,100.98
12,-1831825.0,95.33
13,-1837551.0,95.225
14,-1817074.0,94.565
15,-1855500.0,95.78
16,-1857343.0,96.0
17,-1825289.0,95.12
18,-1819844.0,94.73
19,-1846184.0,95.475
20,-1785254.0,93.875
21,-1790402.0,93.92
22,-1793361.0,94.015
23,-1883322.0,96.37
24,-1809041.0,94.505
25,-1799427.0,94.19
26,-1845280.0,95.375
27,-1780141.0,93.615
28,-1811792.0,94.635
29,-1788302.0,94.08
30,-1770400.0,94.25
31,-1805827.0,98.33
32,-1794102.0,94.07
33,-1779898.0,93.885
34,-1832792.0,95.525
35,-1817502.0,94.825
36,-1853164.0,95.575
37,-1855622.0,95.69
38,-1852293.0,95.445
39,-1769853.0,93.415
40,-1745586.0,92.85
41,-1924447.0,100.58
42,-1820554.0,95.075
43,-1862387.0,96.085
44,-1786946.0,93.945
45,-1932029.0,104.415
46,-1786877.0,93.83
47,-1767108.0,93.37
48,-1812064.0,94.71
49,-1775899.0,93.49
50,-1799572.0,94.195
51,-1825613.0,98.6
52,-1817274.0,94.745
53,-2005909.0,104.685
54,-2092441.0,108.37
55,-1979693.0,101.195
56,-1914914.0,98.545
57,-1872569.0,96.405
58,-1754326.0,92.61
59,-1808571.0,94.49
60,-1810032.0,94.64
61,-1750228.0,92.98
62,-1860959.0,95.985
63,-1826284.0,94.975
64,-1890195.0,96.86
65,-1784686.0,93.82
66,-1746144.0,92.74
67,-1724150.0,92.2
68,-1730052.0,92.525
69,-1765834.0,93.415
70,-1792595.0,94.2
71,-1770226.0,93.42
72,-1696896.0,91.235
73,-1820591.0,95.025
74,-1852687.0,95.785
75,-1756000.0,92.875
76,-1773053.0,93.58
77,-1858349.0,96.03
78,-2020747.0,100.87
79,-1840999.0,95.255
80,-1839045.0,95.3
81,-1883246.0,97.345
82,-1886116.0,96.675
83,-1916964.0,97.73
84,-1907061.0,97.145
85,-1778792.0,93.635
86,-1913454.0,97.885
87,-1919841.0,97.895
88,-1961231.0,99.125
89,-1888268.0,97.005
90,-1891478.0,97.44
91,-2013569.0,103.705
92,-2014445.0,100.78
93,-1949179.0,98.505
94,-1864890.0,96.95
95,-1975772.0,99.575
96,-1892567.0,96.74
97,-1799061.0,94.16
98,-1904179.0,97.13
99,-1805833.0,94.36
100,-1878658.0,97.0
101,-1821455.0,95.035
102,-1905098.0,97.37
103,-1967896.0,99.08
104,-1867766.0,96.275
105,-1912229.0,97.32
106,-1930156.0,98.125
107,-1828056.0,95.135
108,-1943651.0,98.66
109,-2002479.0,100.865
110,-1876771.0,96.755
111,-1953803.0,104.235
112,-1897468.0,97.345
113,-1838192.0,95.45
114,-1950617.0,98.86
115,-1813183.0,94.685
116,-1981954.0,99.925
117,-1809844.0,94.495
118,-1840120.0,95.615
119,-1928468.0,98.18
120,-1859231.0,96.23
121,-1835040.0,97.58
122,-1972774.0,101.14
123,-1945414.0,98.915
124,-1914301.0,97.89
125,-1822419.0,95.035
126,-1834870.0,95.035
127,-1859257.0,96.165
128,-1848775.0,95.76
129,-1871269.0,97.02
130,-1823338.0,94.91
131,-2147111.0,116.03
132,-1868036.0,100.605
133,-2048356.0,105.535
134,-1995040.0,103.905
135,-1968420.0,103.105
136,-1859762.0,96.545
137,-2053709.0,103.8
138,-1934412.0,100.195
139,-1972518.0,100.225
140,-1995328.0,103.145
141,-2111427.0,114.785
142,-1921895.0,105.745
143,-2091206.0,109.035
144,-2061805.0,106.705
145,-1987701.0,104.425
146,-1973370.0,104.415
147,-1987978.0,105.06
148,-1962877.0,102.33
149,-1996046.0,105.88
150,-2018295.0,106.225
151,-2162442.0,113.36
152,-1850789.0,100.3
153,-2072177.0,114.08
154,-2190373.0,112.085
155,-2047786.0,114.475
156,-2051447.0,108.31
157,-2047243.0,109.57
158,-1839306.0,95.365
159,-2150759.0,115.48
160,-2031804.0,108.615
161,-2206494.0,117.785
